Date,Open,High,Low,Close,Adj Close,Volume
2019-07-02,14560.664063,14664.667969,14387.322266,14421.990234,14421.990234,3723406
2019-07-03,14352.654297,14664.667969,14317.986328,14595.332031,14595.332031,6015763
2019-07-04,14664.667969,14734.004883,14525.995117,14664.667969,14664.667969,3493022
2019-07-05,14664.667969,14872.677734,14560.664063,14664.667969,14664.667969,4591578
2019-07-08,14664.667969,14664.667969,14387.322266,14491.327148,14491.327148,4828063
2019-07-09,14491.327148,14630.000000,14456.659180,14525.995117,14525.995117,3515118
2019-07-10,14560.664063,14768.672852,14560.664063,14560.664063,14560.664063,3845146
2019-07-11,14630.000000,15011.350586,14630.000000,14942.014648,14942.014648,7816878
2019-07-12,14976.682617,15080.687500,14803.341797,14872.677734,14872.677734,4926726
2019-07-15,14872.677734,14976.682617,14803.341797,14907.345703,14907.345703,2882839
2019-07-16,14907.345703,15080.687500,14907.345703,15046.019531,15046.019531,9405321
2019-07-17,15115.355469,15254.028320,15011.350586,15184.692383,15184.692383,6355455
2019-07-18,15046.019531,15184.692383,15011.350586,15011.350586,15011.350586,4062823
2019-07-19,15219.360352,15358.033203,15115.355469,15150.023438,15150.023438,9859886
2019-07-22,15150.023438,15288.697266,14942.014648,14976.682617,14976.682617,7925291
2019-07-23,14976.682617,15080.687500,14942.014648,15011.350586,15011.350586,4216033
2019-07-24,15080.687500,15115.355469,14734.004883,14734.004883,14734.004883,5689269
2019-07-25,14734.004883,14872.677734,14699.336914,14734.004883,14734.004883,4120830
2019-07-26,14803.341797,14838.009766,14699.336914,14699.336914,14699.336914,2928990
2019-07-29,14699.336914,14734.004883,14421.990234,14491.327148,14491.327148,3738117
2019-07-30,14630.000000,14664.667969,14352.654297,14352.654297,14352.654297,3670894
2019-07-31,14352.654297,14456.659180,14317.986328,14387.322266,14387.322266,3798827
2019-08-01,14421.990234,14421.990234,14075.308594,14144.644531,14144.644531,4552796
2019-08-02,14005.971680,14352.654297,13971.303711,14109.976563,14109.976563,4968335
2019-08-05,14179.312500,14179.312500,14040.639648,14109.976563,14109.976563,4054617
2019-08-06,13832.630859,14075.308594,13832.630859,14005.971680,14005.971680,5620128
2019-08-07,14005.971680,14144.644531,13901.966797,14005.971680,14005.971680,2244950
2019-08-08,14075.308594,14179.312500,13936.634766,14179.312500,14179.312500,3255600
2019-08-09,14179.312500,14352.654297,14109.976563,14213.981445,14213.981445,3129245
